Title,Author(s),Year,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Flag,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
Computational analysis of water shortage mitigation measures in the IJsselmeer region,Hussam Alhamid,2024.0,Hugo de Boer,Paul Schot,"This thesis investigates water shortage mitigation measures in the IJsselmeer region, aiming to analyze the effectiveness of various strategies. The research employs computational analysis to evaluate the impacts of increasing water levels and the supply capacity from the Amsterdam-Rhine Canal. Key findings indicate that specific measures can significantly enhance freshwater supply, addressing the challenges posed by water scarcity in the region.",What are the effective water shortage mitigation measures in the IJsselmeer region?,6 - Clean Water and Sanitation,This SDG applies as the research focuses on enhancing freshwater supply and addressing water scarcity issues in the IJsselmeer region.,"IJsselmeer region, Netherlands",Local,Water Management,"water shortage, IJsselmeer, mitigation measures, freshwater supply, Amsterdam-Rhine Canal",Quantitative Empirical Research,Computational analysis,,Rijkswaterstaat,,IJsselmeer,52.8092638,5.3748089,Broad,Abstract too short,alhamid_2024.pdf,alhamid_2024.png,Matched,Netherlands,52.8092638,5.3748089
Final master’s thesis - master Water Science and Management,Inge Benschop,2023.0,,,"Increasing temperatures and changing precipitation patterns due to climate change are affecting the fresh water availability and causing drought issues globally. This thesis focuses on analysing the effect of drought mitigation measures, specifically reprofiling watercourses, on groundwater levels in the elevated sandy soils of The Netherlands. The groundwater model Amigo was applied to the study area Winterswijk to assess the impact of reprofiling primary and secondary watercourses. The findings indicate that raising the river bed and water level of both types of watercourses simultaneously is the most effective strategy for increasing groundwater levels and mitigating drought. Further research is needed to balance drought mitigation with potential nuisance from reprofiling measures.","How do drought mitigation measures, specifically reprofiling watercourses, affect groundwater levels in the elevated sandy soils of The Netherlands?",6 - Clean Water and Sanitation,"The research addresses the critical issue of fresh water availability and drought mitigation, which directly relates to ensuring access to water and sustainable management of water resources.","Winterswijk, Netherlands",Local,Water Management,"Drought, Mitigation, Redesigning, Water system, Groundwater, Modelling",Quantitative Empirical Research,"Groundwater modelling, Spatial analysis, Time series analysis",,,,Winterswijk,51.968021,6.737872,City,Missing Supervisor,benschop_2023.pdf,benschop_2023.png,Matched (content),Netherlands,51.968021,6.737872
Sorptive transport of atmospherically deposited PFAS in selected Dutch soils.,Thomas Gerardu,2021.0,"Jasper Griffioen, Joris Dijkstra",Iris Pit,"This thesis investigates the sorptive transport of per- and polyfluoroalkyl substances (PFAS) deposited from the atmosphere into selected Dutch soils. The aim is to understand the mechanisms of PFAS transport and their environmental implications. A combination of fieldwork and laboratory analysis was employed to collect data on soil properties and PFAS concentrations. The findings reveal significant variations in PFAS retention and transport across different soil types, highlighting the need for tailored management strategies for PFAS contamination in the environment.",What are the mechanisms of sorptive transport of atmospherically deposited PFAS in selected Dutch soils?,6 - Clean Water and Sanitation,"This research addresses the contamination of water resources by PFAS, which poses risks to human health and the environment, aligning with the goal of ensuring availability and sustainable management of water and sanitation for all.",Netherlands,Local,Ecology & Biodiversity,"PFAS, transport, soils, environmental fate, contamination","Qualitative Empirical Research, Quantitative Empirical Research","Fieldwork, Soil physical, chemical analysis, Transport modelling",,TNO,,Utrecht,52.243498,5.634323,City,Abstract too short,gerardu_2021.pdf,gerardu_2021.png,Matched,Netherlands,52.243498,5.634323
Implementing and upscaling the “Improved Drainage System”,Sterre C. de Haas,2023.0,"Arjen Oord, Martin Wassen",Stefanie Lutz,"This master thesis explores the implementation of the Improved Drainage System (VDS) in the agricultural area of the Haarlemmermeer polder, aiming to reduce freshwater demand and mitigate waterlogging risks while maintaining suitable water quality and salinity for agricultural functions. The study investigates the effect of VDS compared to traditional water management in response to climate change and autonomous salinisation. The STOWA model was utilized for this study, indicating that VDS reduces freshwater demand and can be applied in specific areas of the polder while maintaining agricultural functionality. However, it also leads to higher surface water salinity compared to traditional management.",How does the implementation of the Improved Drainage System (VDS) affect freshwater demand and water quality in the agricultural areas of the Haarlemmermeer polder?,6 - Clean Water and Sanitation,"The research focuses on improving water management practices to ensure sustainable water use and quality in agricultural areas, directly contributing to the goal of clean water and sanitation.","Haarlemmermeer, Netherlands",Local,Energy & Climate,"Flexible water level, STOWA Water Balance, Internal autonomous salinisation, Sustainability, Deep polder area, Haarlemmermeer",Quantitative Empirical Research,STOWA model,,Hoogheemraadschap van Rijnland,,Haarlemmermeer,52.323842,4.715261,City,,haas_2023.pdf,haas_2023.png,Matched,Netherlands,52.323842,4.715261
Urban Climate Adaptation in Water Management Policy: Implementation of Measures at Regional Water Authority Zuiderzeeland,Marte Meister,2020.0,Martin Wassen,,"The climate is changing, and the impact of these changes is affecting countries and communities globally. In 2018 the Delta Plan on Spatial Adaptation was created with the aim of establishing a climate-proof and water-robust country. This thesis aims to analyze what the role of regional water authorities is in the process of climate adaptation, and what factors and measures account for an effective climate adaptation policy to help ensure a water robust and climate proof urban environment. This thesis combines results from a literature study on climate adaptation measures and their successful implementation with a case study of the current situation at regional water authority (RWA) Zuiderzeeland.","What is the role of regional water authorities in the process of climate adaptation, and what factors and measures account for an effective climate adaptation policy?",13 - Climate Action,This SDG applies as the thesis focuses on climate adaptation measures and the role of water authorities in addressing climate change impacts.,"Flevoland, Netherlands",Regional,Water Management,"climate adaptation, Water management, regional water authority, Zuiderzeeland","Literature-Based Research, Qualitative Empirical Research","Literature study, Case study, Semi-structured interviews",,Zuiderzeeland,,Flevoland,52.448437,5.42354,Region,,meister_2020.pdf,meister_2020.png,Matched,Netherlands,52.448437,5.42354
How did water management and governance evolve in the city of Amsterdam from the year 1672 to the present and what can be learned from this to enhance a city’s ability to address its water challenges?,Sannah Peters,2020.0,Kees van Leeuwen,Martin Wassen,"This study investigates the evolution of water management and governance in Amsterdam from 1672 to the present. The aim is to understand historical developments and their implications for future water management. A retrospective analysis is conducted using the City Blueprint Approach, literature review, and interviews. The findings reveal that Amsterdam's water infrastructure has often been shaped by crises and international knowledge transfer. The study emphasizes the need for long-term planning and integrated approaches in water management, highlighting the importance of cooperation and knowledge exchange with other cities.",How did water management and governance evolve in the city of Amsterdam from the year 1672 to the present and what can be learned from this to enhance a city’s ability to address its water challenges?,6 - Clean Water and Sanitation,"This SDG applies as the study focuses on improving water management and governance, which are essential for ensuring sustainable access to clean water in urban areas.","Amsterdam, Netherlands",Local,Governance & Policy,"Integrated Water Resources Management, City Blueprint, Amsterdam, Retrospective analysis","Literature-Based Research, Qualitative Empirical Research","Retrospective analysis, Literature study, Expert interviews, Comparative analysis","Integrated Water Resources Management, Water governance, Leapfrogging",Waternet,,Amsterdam,52.37308,4.892453,City,Abstract too short,peters_2020.pdf,peters_2020.png,Matched,Netherlands,52.37308,4.892453
Soil Sorption Experiments for Amphetamine-Type Substances,Takeru Nishi,2019.0,"Stefanie Lutz, Thomas ter Laak",,"Dumping of illicit drug production waste, namely amphetamine-type substances (ATS), is an issue that Dutch authorities continually grapple with due to the concentrated production of such drugs in the Netherlands. This thesis set out to perform an array of soil sorption experiments that would provide empirical data that enhances the understanding of how these chemicals behave in the soil system. Sorption experiments were performed using a soil sample collected from the Utrechtse Heuvelrug, focusing on five ATS chemicals. The results indicate that the sorption of MDMA, methamphetamine, and APAAN is adequately described by the Freundlich model, while data for BMK was insufficient for calculation. Overall, this thesis provides valuable insights into the environmental fate of ATS drug waste chemicals in Dutch soil.","How do amphetamine-type substances behave in the soil system, particularly in terms of their sorption characteristics?",6 - Clean Water and Sanitation,"This research addresses the contamination of groundwater by amphetamine-type substances, which is critical for ensuring clean water resources.",Netherlands,Local,Ecology & Biodiversity,,Qualitative Empirical Research,"Sorption experiments, LCMS analysis",,KWR Water Research Institute,,Utrecht,52.243498,5.634323,City,,nishi_2019.pdf,nishi_2019.png,Matched,Netherlands,52.243498,5.634323
"Analysis of the added value of remote sensing soil moisture products for near-future inundation risk assessment in North Brabant, the Netherlands",Jeroen Muelders,2020.0,S.M. de Jong,E.A. Addink,"This study investigates the added value of remote sensing soil moisture products for inundation risk assessment in North Brabant, the Netherlands. The aim is to evaluate the reliability and accuracy of available soil moisture products and their relationship with precipitation, groundwater levels, and discharges. The methodology includes statistical comparisons of two soil moisture products, OWASIS and VanderSat, against in-situ measurements. Findings indicate that while VanderSat shows moderate to strong correlations with in-situ data, OWASIS is unreliable for inundation risk assessment. The study concludes that current remote sensing products are not feasible for improving inundation risk assessments in the region.","How reliable and accurate are remote sensing soil moisture products for inundation risk assessment in North Brabant, the Netherlands?",6 - Clean Water and Sanitation,"The study focuses on improving water management and understanding soil moisture dynamics, which are crucial for effective water resource management and flood risk assessment.","Noord-Brabant, Netherlands",Regional,Water Management,"remote sensing, soil moisture, inundation risk assessment, Water management, OWASIS, VanderSat",Quantitative Empirical Research,"Statistical analysis, Correlation analysis",,Waterschap Brabantse Delta,"HydroLogic, VanderSat, Waterschap Aa en Maas",North Brabant,51.601772,5.444139,Region,Abstract too short,muelders_2020.pdf,muelders_2020.png,Matched,Netherlands,51.601772,5.444139
Design and Construction of an Experimental Setup for BioSealing Application in Artificial Groundwater Recharge,Giovanni Cecchetto S.,,"Ruud Schotting, A. Raoof",,"Water is essential for human life and nature, with its availability impacting economic development and welfare. Climate change is increasing water supply variability while demand rises, making sufficient water supply a major challenge. This study presents the BioSealing technique developed by Deltares, which uses microorganisms to seal the subsurface and enhance water retention. An experimental setup was designed to demonstrate this technique's efficiency in a laboratory setting. The artificial recharge simulation showed that the setup effectively monitored key soil parameters, contributing to addressing societal issues like droughts exacerbated by climate change.",How effective is the BioSealing technique in enhancing artificial groundwater recharge?,6 - Clean Water and Sanitation,"The study addresses water scarcity and aims to improve water retention techniques, contributing to sustainable water management.",Netherlands,Local,Energy & Climate,"BioSealing, artificial recharge, water tank experiment, 2D scale",Qualitative Empirical Research,"Laboratory setup, water flow simulation, monitoring soil parameters",,Deltares,,Netherlands,52.243498,5.634323,Country,Abstract too short,s_unknown.pdf,s_unknown.png,Matched,Netherlands,52.243498,5.634323
A Rainwater Harvesting System based Blueprint for Excess Runoff Management on Caribbean Small Island Developing States,Geert Jasper van Houselt,2021.0,"Paul Schot, Iris Pit",,"This research investigates the feasibility of implementing a modular rainwater harvesting system, specifically the Rigofill system, combined with new dam structures at the Coral Estate Resort in Curacao. The aim is to manage excess runoff and provide a sustainable freshwater supply. The methodology includes data collection, literature review, and application of the Curve Number method to assess potential runoff. Findings indicate that the Rigofill system can effectively capture and store rainwater, reducing flooding risks and enhancing water availability during dry periods.","To what extent can the implementation of Rigofill provide a solution for the excess runoff at the Coral Estate Resort, plus account for its own freshwater supply; and what is the potential for implementation of this type of RWH system on other SIDS?",6 - Clean Water and Sanitation,"The research addresses water scarcity and management issues in Small Island Developing States, aligning with the goal of ensuring availability and sustainable management of water and sanitation for all.",Curaçao,Local,Water Management,"Rainwater Harvesting, Rigofill, Excess Runoff, Curacao, SIDS","Literature-Based Research, Qualitative Empirical Research","Curve Number Method, Data Collection, Literature review",,G.S.O. Caribbean N.V.,Coral Estate Resort,Curacao,12.117649,-68.930926,Country,Abstract too short,houselt_2021.pdf,houselt_2021.png,Matched,Netherlands,12.117649,-68.930926
"Modelling pollution hot spots as a result of industrial effluent in Dhaka, Bangladesh",Saskia Ball,,Walter Schenkeveld,,"This thesis investigates the pollution hot spots in Dhaka, Bangladesh, caused by industrial effluent. The aim is to model the impact of various industries on water quality and identify critical areas of pollution. A combination of scenario analysis and validation techniques is employed to assess the extent of pollution and its sources. The findings reveal significant variations in pollution levels across different industrial sectors, highlighting the urgent need for improved environmental management and regulatory measures.",,6 - Clean Water and Sanitation,"This SDG applies as the research focuses on water quality issues resulting from industrial pollution, which directly impacts access to clean water.","Dhaka, Bangladesh",Local,Energy & Climate,,Modelling & Systems Approaches,"Scenario analysis, Modelling, Validation/Calibration",,Deltares,,Dhaka,23.764386,90.389014,City,"Missing Research Question, Abstract too short",ball_unknown.pdf,ball_unknown.png,Matched (content),Bangladesh,23.764386,90.389014
Impact of land subsidence on the population and land use in the Mekong delta,Haye Dijkstra,2020.0,"Hans Middelkoop, P. S. J. Minderhoud, Murray Scown",,"This research investigates the impact of land subsidence on the population and land use in the Mekong delta, aiming to improve the Shared Socio-economic Pathways (SSP) scenarios at a regional scale. The study employs the IMAGE model to project land use and population density while incorporating local environmental feedback from land subsidence. The findings reveal significant discrepancies between SSP projections and actual land use opportunities, with a substantial portion of the delta projected to be below sea level by 2100. Recommendations for incorporating local feedback into global models are provided.",What is the impact of land subsidence on the projections of the SSP models for the Mekong delta region and its inhabitants?,13 - Climate Action,"The research addresses the impacts of climate change, specifically sea level rise and land subsidence, on vulnerable populations in the Mekong delta, highlighting the need for climate action.","Mekong Delta, Vietnam",Local,Energy & Climate,"land subsidence, Mekong delta, Shared Socio-economic Pathways, Climate Change, population density",Mixed Methods Research,"Case study, Scenario analysis, Policy analysis",,Arcadis,,Mekong delta,9.750896,105.22246,Broad,Abstract too short,dijkstra_2020.pdf,dijkstra_2020.png,Matched,Vietnam,9.750896,105.22246
Plausibility of pathways for landscape development in peat meadows: An exploration of the Amstelscheg case study,Lotte van Helden,2020.0,Carel Dieperink,Martin Wassen,"This study investigates the plausibility of pathways for landscape development in the Green Heart, focusing on the Amstelscheg case study. The aim is to identify sustainable strategies to address soil subsidence caused by peat oxidation. A stakeholder analysis was conducted, and semi-structured interviews were held to gather insights on future visions for peatlands. The findings indicate that a production landscape scenario, which incorporates nature-inclusive agriculture, is preferred by stakeholders. The study highlights the importance of an adaptation pathway approach to guide policymakers in implementing effective measures against soil subsidence.",What could be plausible pathways for addressing soil subsidence in peatland areas in the Green Heart?,13 - Climate Action,"The study addresses soil subsidence and greenhouse gas emissions in peat meadows, which are critical issues in the context of climate change and environmental sustainability.","Green Heart, Netherlands",Regional,Energy & Climate,"peat meadows, soil subsidence, adaptation pathways, stakeholder analysis, Green Heart",Qualitative Empirical Research,"Semi-structured interviews, Stakeholder analysis, Multi-criteria decision analysis",,Deltares,,Amstelscheg,,,City,Abstract too short,helden_2020.pdf,helden_2020.png,Matched,Netherlands,,
Pressing The Accelerator For Urban Climate Adaptation: Identifying Critical Factors For Success Among Europe’s Frontrunner Cities,George Parsons,2023.0,Carel Dieperink,Kees van Leeuwen,"Contemporary cities face common trends that are bringing new challenges and opportunities. Water-related climate change hazards, like pluvial flooding and drought, alongside demographic change and urbanization, require adaptation to create healthy, sustainable cities. The objective of this research is to compare and identify critical factors for accelerating adaptation success in frontrunner cities. Using the concept of adaptive capacity as an analytical frame, a qualitative assessment of adaptation implementation in London, Copenhagen, Rotterdam, Berlin and Warsaw was undertaken. Comparative analysis showed that inspirational leadership, horizontal coordination, financial availability, adaptation expertise and community initiatives were strong enabling factors for adaptation success.",What are the critical factors for accelerating urban climate adaptation success in frontrunner cities?,11 - Sustainable Cities and Communities,"This research focuses on enhancing urban resilience and sustainability in the face of climate change, aligning with the goal of making cities inclusive, safe, resilient, and sustainable.",Europe,Regional,Urban & Regional Development,"urban climate change adaptation, water-related hazards, adaptive capacity, actionability",Qualitative Empirical Research,"Semi-structured interviews, Content analysis",,Sweco,"London, Copenhagen, Rotterdam, Berlin, Warsaw",,,,Broad,Abstract too short,parsons_2023.pdf,parsons_2023.png,Matched,Europe,,
Quantifying historical impact of groundwater irrigation practices to the ecological environment and the availability of the High Plains Aquifer,Jinmoo Lee,,Rens van Beek,Marc Bierkens,"This research investigates the historical impacts of groundwater irrigation practices on the ecological environment and the sustainable availability of the High Plains Aquifer from 1901 to 2018. The aim is to quantify the volumetric changes in groundwater and assess the environmental flow requirements. A hydrologic model, PCR-GLOBWB, is employed for quantitative analysis, alongside validation techniques. The findings reveal significant trends in groundwater depletion and highlight the need for sustainable management practices to ensure the aquifer's longevity.",What are the historical impacts of groundwater irrigation practices on the ecological environment and the sustainable availability of the High Plains Aquifer?,6 - Clean Water and Sanitation,This SDG applies as the research focuses on groundwater management and sustainable practices to ensure the availability of water resources.,High Plains Aquifer,Regional,Water Management,"Groundwater, Irrigation, High Plains Aquifer, Environmental Flow, Hydrologic Model",Quantitative Empirical Research,"Hydrologic model: PCR-GLOBWB, Zonal analysis, Validation techniques","Groundwater footprint, Environmental flow requirements, Hydrologic model: PCR-GLOBWB",,,,,,Broad,Abstract too short,lee_unknown.pdf,lee_unknown.png,Matched,United States,,
Getting Inspired: Applying other countries’ drought measures to the Netherlands,Charlotte Offringa,2021.0,Martin Wassen,Iris Pit,"Water shortage is a globally occurring phenomenon whose economic, social, and environmental impacts are the product of the meteorological and hydrological fluctuations and the influence of society on this climate variability. Future climate scenarios indicate that more severe drought may become a natural part of the Netherlands’ climate. This research applies an international social learning approach to suggest improvements to the drought management of Water Authority Hoogheemraadschap de Stichtse Rijnlanden (HDSR). Seventeen drought measures from other countries were collected and assessed for their applicability through focus-group discussions. The ten resulting measures require further research and piloting, and are extrapolatable to most other Water Authorities in the Netherlands.",What can Hoogheemraadschap de Stichtse Rijnlanden learn from other countries’ drought management measures?,6 - Clean Water and Sanitation,"This SDG applies as the research focuses on improving water management and resilience to drought, which directly impacts water availability and quality.",Netherlands,National,Water Management,"drought management, social learning, water authority, international measures, resilience",Qualitative Empirical Research,"Focus groups, Explorative research",,Hoogheemraadschap De Stichtse Rijnlanden,,Utrecht,52.243498,5.634323,City,,offringa_2021.pdf,offringa_2021.png,Matched,Netherlands,52.243498,5.634323
Social Cost-Benefit Analysis of Mangrove Restoration in Mozambique,Roos Peeters,2023.0,Jaivime Evaristo,,"The people of Icidua, a neighbourhood of Quelimane (Mozambique), rely on logging their local mangrove population for their livelihood to survive. Unfortunately, these same practises are causing environmental degradation, the erosion of their natural riverbanks, resulting in floods which wash away their homes. This study assessed potential alternative livelihoods to promote community participation in mangrove restoration efforts. Two policy plans were compared: Business as Usual and Alternative Livelihood Development. Results showed a net positive economic impact of the Alternative Livelihood Development policy, indicating the necessity of including alternative livelihoods in mangrove restoration projects.","How can alternative livelihoods be integrated into mangrove restoration efforts in Icidua, Mozambique, to enhance community engagement and economic viability?",15 - Life on Land,"This study addresses the restoration of mangrove ecosystems, which are crucial for biodiversity and combating land degradation.","Icidua, Mozambique",Local,Ecology & Biodiversity,"Community Engagement, Mangrove Restoration, Alternative Livelihoods, Social Cost-Benefit Analysis",Mixed Methods Research,"Systematic literature review, Baseline Household Survey, Community Consultations, Workshop, Cost-benefit analysis",,Van Oord,,Icidua,,,City,Abstract too short,peeters_2023.pdf,peeters_2023.png,Matched,Mozambique,,
Water Sensitive Urban Design – Hydrological Effects of an Infiltration Trench with a Permeable Kerb in an Urban Streetscape,Victor Berger,2025.0,Martijn Kuller,,"Urbanisation and climate change have intensified stormwater runoff and urban flooding, demanding effective and sustainable water management solutions. Water Sensitive Urban Design (WSUD) systems, like infiltration trenches, are promising solutions for effective stormwater management. This study evaluates the hydrological effects of an infiltration trench paired with a permeable kerb inlet. Over a 7-month period in northern Melbourne, Australia, the research examines the system’s capacity to retain runoff, reduce peak flows, and enhance soil moisture through passive irrigation. The system achieved a runoff retention of 77.4% and an average peak flow reduction of 90.6%, outperforming similar systems. Findings highlight the importance of system-catchment ratio, storage volume, and unrestricted inlet configuration.",What are the hydrological effects of an infiltration trench paired with a permeable kerb inlet in an urban streetscape?,11 - Sustainable Cities and Communities,"This study addresses urban flooding and stormwater management, contributing to the development of sustainable urban environments.","northern Melbourne, Australia",Local,Urban & Regional Development,"Water Sensitive Urban Design, infiltration trench, permeable kerb, stormwater management, urban flooding",Qualitative Empirical Research,"Data collection, hydrological analysis, soil moisture measurement",,,,Melbourne,-37.761792,145.168632,City,,berger_2025.pdf,berger_2025.png,Matched,Australia,-37.761792,145.168632
Potential of a Suppletion Ditch for Restoration of Bog Woodland in De Wieden,Marijke Roos Ronduite,2020.0,Paul Schot,,"This thesis investigates the potential of a suppletion ditch to restore bog woodland in De Wieden, a mire system in the Netherlands affected by desiccation. The objective is to model the hydrological conditions necessary for the restoration of this habitat. Using the HYDRUS-2D model, various scenarios were simulated to assess the impact of a suppletion ditch on phreatic levels and soil moisture content. The findings indicate that while winter phreatic levels may decrease slightly, summer levels can increase significantly, suggesting that a suppletion ditch can enhance hydrological conditions for bog woodland restoration.",To what extent will a suppletion ditch create suitable hydrological conditions for the restoration of bog woodland based on hydrological modelling of De Wieden?,15 - Life on Land,"The research focuses on restoring bog woodland, which is crucial for biodiversity and ecosystem health, aligning with the goal of protecting, restoring, and promoting sustainable use of terrestrial ecosystems.","De Wieden, Netherlands",Local,Ecology & Biodiversity,"bog woodland, suppletion ditch, hydrological modelling, De Wieden, peatland",Modelling & Systems Approaches,HYDRUS-2D,,,,De Wieden,52.401269,4.939506,Broad,Abstract too short,ronduite_2020.pdf,ronduite_2020.png,Matched,Netherlands,52.401269,4.939506
UV-LEDS FOR DRINKING WATER DISINFECTION IN THE NETHERLANDS AS AN ALTERNATIVE TO MERCURY-BASED LAMPS,David Bustos Cavada,2025.0,Thilo Behrends,David Gold,"The EU is progressively restricting the use of mercury to protect human health and the environment. Consequently, Dutch water utilities must find an alternative to their mercury-based UV disinfection systems before they are permanently banned. UV-LEDs are a promising replacement. However, their feasibility for full-scale water disinfection in the Netherlands remains unclear due to questions about their germicidal performance, required surface area, energy efficiency, and cost-effectiveness. To assess whether a simulated UV-LED reactor could match the performance of a real-world UV reactor with respect to these parameters, three mathematical models based on two reactor designs were optimized in Microsoft Excel. The modeling results show that the SPR-1 is the most efficient of the reactor designs researched. In conclusion, UV-LED technology is robust enough to at least be piloted in small full-scale drinking water treatment plants in the Netherlands.",How feasible are UV-LEDs as an alternative to mercury-based UV disinfection systems for full-scale water disinfection in the Netherlands?,6 - Clean Water and Sanitation,"This research addresses the need for safe drinking water by exploring alternatives to mercury-based disinfection systems, aligning with the goal of ensuring availability and sustainable management of water and sanitation for all.",Netherlands,National,Energy & Climate,"UV-LEDs, drinking water, disinfection, mercury-based lamps, water treatment",Quantitative Empirical Research,"Mathematical modeling, benchmarking",,KWR Water Research Institute,,Netherlands,52.243498,5.634323,Country,,cavada_2025.pdf,cavada_2025.png,Matched (content),Netherlands,52.243498,5.634323
Developing a method to quantify drought via multiple indicators to analyze the freshwater goal of the Netherlands,Timo Sleegers,2020.0,"Niko Wanders, Michelle van Vliet",,"This thesis addresses the challenge of quantifying drought in the Netherlands to evaluate the effectiveness of strategies aimed at achieving the freshwater goal. The objective is to develop a method that incorporates multiple indicators of drought, such as cumulative precipitation deficit and river discharge levels. A mixed methods approach is employed, combining literature review and empirical data analysis. The findings reveal significant regional variations in drought indicators and highlight the need for tailored strategies to enhance water resilience in the face of climate change.",How can a method be developed to quantify drought using multiple indicators to assess the effectiveness of strategies for achieving the freshwater goal in the Netherlands?,6 - Clean Water and Sanitation,"This research directly contributes to ensuring availability and sustainable management of water resources, addressing the increasing challenges of water scarcity and drought in the Netherlands.",Netherlands,National,Water Management,"drought, freshwater goal, indicators, Water management, Netherlands",Mixed Methods Research,"Literature review, Multi-Criteria Decision Analysis",,Deltares,,Netherlands,52.243498,5.634323,Country,Abstract too short,sleegers_2020.pdf,sleegers_2020.png,Matched,Netherlands,52.243498,5.634323
Global Changes of Flood Hazard in Cities Developing a Global Approach to Assess Hydroclimatic Changes in Cities Across a Wide Range of Futures,Jasper van Beveren,2022.0,Stefanie Lutz,Hans Gehrels,"As the climate changes, weather patterns are expected to shift. Stakeholders are interested in how strong and how frequent future storm events might become and what this means for the climate hazard cities face. This research aims to contribute to the climate risk assessment of cities by proposing a new approach to determine the city’s most at risk of flooding under different climate conditions. The approach moves away from conventional top-down approaches and utilizes global datasets and hydrological models. The results show the developed workflow tested on Bangkok for riverine flooding, raising discussions about methodologies for climate risk assessments and improving the reliability of global flood hazard methodologies.",How can a new approach to climate risk assessment improve the identification of cities most at risk of flooding under different climate conditions?,11 - Sustainable Cities and Communities,"This research addresses the need for improved climate risk assessments in urban areas, contributing to the resilience of cities against climate hazards.",Global,Global/International,Urban & Regional Development,"Climate Risk in Cities, Flood Hazard, Global Risk Assessment, Weather Generator, Hydrological Extremes",Mixed Methods Research,"Workflow development, Hydrological modeling, Climate change narrative analysis",,Deltares,,Bangkok,13.7524938,100.4935089,City,,beveren_2022.pdf,beveren_2022.png,Matched,Global,,
A pro-active regional control system framework for the polder “De Eendragt” in the Netherlands,Nathalie van Tricht,2021.0,Jaivime Evaristo,,This thesis explores the development of a proactive regional control system framework for the polder 'De Eendragt' in the Netherlands. The aim is to enhance water management strategies in response to climate change effects on weather extremes. The methodology includes a detailed analysis of current management practices and the implementation of smart water management techniques. Key findings indicate that integrating advanced data collection and decision support systems can significantly improve water management outcomes in the region.,How can a proactive regional control system framework be developed for the polder 'De Eendragt' to enhance water management in the face of climate change?,13 - Climate Action,"The research addresses the impacts of climate change on water management, aiming to develop strategies that enhance resilience and adaptation in the polder system.",Netherlands,Local,Energy & Climate,"Smart water management, Climate Change, Water management, Decision support systems",Qualitative Empirical Research,"Case study, Policy analysis",,Waterschap Hollandse Delta,,,52.243498,5.634323,Broad,Abstract too short,tricht_2021.pdf,tricht_2021.png,Matched,Netherlands,52.243498,5.634323
Parameterization of a Non-Linear Groundwater Storage-Discharge Relationship for PCR-GLOBWB,Muhammad Arfan,2024.0,"Marc Bierkens, Edwin H. Sutanudjaja",Niko Wanders,"Groundwater is an essential major water resource that is utilized for human water needs and is an integral part of the intricate water system. To grasp its complexity and challenges, a global groundwater model has been developed. This model predicts future groundwater patterns, especially under the influence of climate change, and serves as a risk mitigation tool in groundwater management. PCR-GLOBWB 2 is one such global hydrological model that can be coupled with the groundwater model. In this groundwater model, the linear reservoir concept is applied. However, some previous studies have indicated a non-linear relationship between baseflow and groundwater storage represents a better reality compared to the linear reservoir. Therefore, we aim to identify and apply this non-linearity using the recent groundwater model, GLOBGM. Additionally, we explore the multiple drainages and various conductance concepts to explore potential model improvements. The result of this recent advancement concept does not yet show an entire improvement. However, improvements are observed partially, especially in regions with wet or high-precipitation climates based on their Kling-Gupta Efficiency (KGE) values. In contrast, the model performs poorly in most dry climate areas, sometimes failing to simulate discharge, as seen in the River Niger, Mali, where it only shows a zero value for some periods.",Can we improve PCR-GLOBWB performance with the new nonlinear storage-outflow relationship?,6 - Clean Water and Sanitation,"This research focuses on improving groundwater management and modeling, which is crucial for ensuring sustainable water resources and addressing water scarcity issues.",Global,Global/International,Energy & Climate,"Groundwater, PCR-GLOBWB, Non-linear relationship, Baseflow, GLOBGM",Mixed Methods Research,"Linear regression, Simulation, Model evaluation",,,,,,,Broad,,arfan_2024.pdf,arfan_2024.png,Matched,Global,,
